,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Cloudiness Description,Cloudiness Percentage,Wind Speed (mph)
0,hornepayne,ca,49.216666999999994,-84.783333,58.8,81,Clouds,overcast clouds,92,3.96
1,nenjiang,cn,49.18333300000002,125.21666699999999,36.12,75,Clear,clear sky,0,2.39
2,bama,ng,11.522103,13.685579,80.13,59,Clear,clear sky,0,3.85
3,cah ab,af,37.397734,69.814644,50.7,64,Clouds,few clouds,20,6.08
4,tanout,ne,14.9702778,8.8916667,91.2,19,Clouds,scattered clouds,44,9.55
5,sukhobuzimskoye,ru,56.50000000000001,93.27277800000002,46.4,93,Rain,light intensity shower rain,40,11.18
6,sherlovaya gora,ru,50.56666700000001,116.25,44.76,57,Clouds,scattered clouds,36,10.22
7,aksu,kz,52.45861099999999,71.985833,40.44,79,Clear,clear sky,0,2.95
8,kargil,in,34.566667,76.09999999999998,23.88,78,Clouds,broken clouds,56,1.61
9,unguia,co,8.043346,-77.094527,89.6,66,Clouds,few clouds,20,9.17
10,les cayes,ht,18.200000000000003,-73.75,84.63,93,Clear,clear sky,8,14.92
11,bowen,au,-20.013670000000005,148.247543,60.8,93,Clouds,few clouds,12,6.93
12,henderson,us,36.3294444,-78.3994444,82.49,67,Clouds,scattered clouds,40,4.7
13,surt,ly,31.206111099999994,16.594722199999996,78.42,94,Clouds,broken clouds,80,5.64
14,sao felipe,br,-14.816666999999999,-41.383333,77.0,47,Clouds,few clouds,20,14.99
15,pishva,ir,35.30799999999999,51.7267,69.82,34,Clear,clear sky,0,6.93
16,salihorsk,by,52.8,27.533333300000006,42.51,87,Clear,clear sky,0,15.14
17,kotelnich,ru,58.3089,48.348000000000006,48.9,89,Clouds,broken clouds,64,12.91
18,menongue,ao,-14.661639000000003,17.688224,74.28,45,Clouds,broken clouds,56,4.97
19,kuching,my,1.55,110.333333,73.4,94,Clouds,broken clouds,75,4.85
20,marawi,sd,18.4833333,31.816666700000003,82.29,25,Clear,clear sky,0,4.07
21,arkhangelos,gr,36.18333330000001,28.1333333,78.8,61,Clear,clear sky,0,14.99
22,tougue,gn,11.45,-11.6833333,72.39,87,Clear,clear sky,8,2.06
23,tachi,tw,24.8833333,121.28333329999997,77.0,78,Rain,light intensity shower rain,75,20.8
24,mombaca,br,-5.75,-39.633333,88.23,32,Clouds,few clouds,12,7.87
25,sao borja,br,-28.65,-56.0,68.34,100,Rain,heavy intensity rain,92,5.64
26,unye,tr,41.131389000000006,37.2825,62.6,88,Rain,light intensity shower rain,75,20.8
27,zhitikara,kz,52.190833000000005,61.200556,49.8,58,Clear,clear sky,0,8.66
28,isangel,vu,-19.55,169.26666670000003,73.47,100,Clouds,overcast clouds,92,16.93
29,serravalle pistoiese,it,43.900000000000006,10.816666999999999,61.65,39,Clear,clear sky,0,10.29
30,castiglion fiorentino,it,43.333333,11.916667000000004,57.2,47,Clear,clear sky,0,8.05
31,forbes,au,-33.384361000000006,148.007599,51.06,94,Rain,light rain,80,7.54
32,bo phloi,th,14.323611000000001,99.51611100000001,74.73,84,Clear,clear sky,8,5.64
33,nola,cf,3.5333333,16.0666667,71.94,96,Clear,clear sky,8,1.95
34,victor harbor,au,-35.550419,138.621536,50.0,57,Clear,clear sky,0,2.24
35,binzhou,cn,45.752809000000006,127.47986300000001,37.11,84,Clear,clear sky,0,3.4
36,apache junction,us,33.415,-111.5488889,95.04,20,Clouds,few clouds,20,3.36
37,kutum,sd,14.200000000000001,24.6666667,86.16,19,Clouds,overcast clouds,88,10.22
38,konya,tr,37.871354,32.484636,62.6,55,Clear,clear sky,0,21.92
39,necochea,ar,-38.547259,-58.736753,64.38,64,Clouds,overcast clouds,92,8.43
40,maridi,sd,4.9147222,29.476944400000008,69.96,94,Rain,light rain,44,6.2
41,biltine,td,14.5333333,20.9166667,88.14,23,Clouds,overcast clouds,88,7.76
42,traverse city,us,44.763055600000015,-85.6205556,73.36,62,Mist,mist,75,5.82
43,le vauclin,mq,14.5333333,-60.83333330000001,81.39,83,Clouds,overcast clouds,88,11.41
44,novaya maka,ru,41.771729,48.361489000000006,72.3,95,Clear,clear sky,0,8.43
45,bossier city,us,32.5158333,-93.7319444,87.87,53,Clouds,overcast clouds,90,8.05
46,peace river,ca,56.233333,-117.283333,59.0,41,Clouds,broken clouds,75,16.11
47,sunland park,us,31.7963889,-106.5794444,89.6,21,Clouds,scattered clouds,40,5.82
48,rankovce,mk,42.18194439999999,22.122777799999998,51.8,43,Clear,clear sky,0,14.99
49,lormi,in,22.283333000000002,81.73333299999999,72.93,89,Clouds,few clouds,24,2.62
50,nauta,pe,-4.5333333,-73.55,91.83,50,Rain,light rain,44,3.4
51,bukene,tz,-4.2333333,32.8833333,72.66,43,Clear,clear sky,0,11.79
52,cravo norte,co,6.301735000000001,-70.204154,87.15,69,Clouds,scattered clouds,32,7.99
53,agfalva,hu,47.68991,16.516575999999997,44.6,65,Clear,clear sky,0,6.93
54,puerto cabezas,ni,14.0333333,-83.3833333,82.4,83,Rain,moderate rain,75,4.7
55,barahan,ph,13.0121,120.76200000000001,73.92,100,Rain,moderate rain,100,2.39
56,ndele,cf,8.4091667,20.653055600000002,73.65,92,Clear,clear sky,8,2.95
57,wote,ke,-1.7833333,37.6333333,65.37,90,Clouds,scattered clouds,48,7.31
58,palmares do sul,br,-30.26666700000001,-50.516667,68.0,94,Rain,light rain,90,10.29
59,pastos bons,br,-6.6,-44.08333299999999,89.4,40,Clouds,few clouds,24,3.51
60,rio grande,br,-32.033333,-52.08333300000001,66.2,82,Clouds,overcast clouds,90,13.87
61,kungurtug,ru,50.59944399999999,97.522778,34.86,100,Rain,light rain,100,3.74
62,ararangua,br,-28.933332999999998,-49.483333,67.98,94,Rain,light rain,88,13.69
63,atyashevo,ru,54.564431000000006,46.069047,44.85,88,Clouds,few clouds,24,11.79
64,mongoumba,cf,3.6333333,18.600000000000005,76.35,85,Rain,light rain,44,2.62
65,richard toll,sn,16.4666667,-15.6833333,87.15,58,Rain,light rain,68,3.74
66,kieta,pg,-6.216666700000002,155.6333333,76.98,100,Rain,light rain,56,18.28
67,tsienyane,bw,-21.016666700000005,24.3333333,67.26,21,Clear,clear sky,0,6.98
68,autun,fr,46.95487800000001,4.300357,51.82,57,Clear,clear sky,0,2.24
69,rajshahi,bd,24.3666667,88.59999999999998,77.52,95,Clouds,scattered clouds,48,4.74
70,barcelos,br,-1.0,-62.96666700000001,81.21,82,Clouds,broken clouds,76,4.18
71,bure,et,10.7,37.06666700000001,57.18,78,Clear,clear sky,8,2.95
72,marsa matruh,eg,31.35000000000001,27.2333333,78.8,74,Clouds,few clouds,20,5.82
73,nuoro,it,40.316667,9.350000000000001,71.6,46,Clear,clear sky,0,10.29
74,umbita,co,5.220408000000001,-73.456953,65.64,49,Clouds,few clouds,20,2.62
75,nguru,ng,12.879100000000001,10.4526,77.43,66,Clear,clear sky,0,3.62
76,sakakah,sa,29.969742000000004,40.206414,91.4,13,Clear,clear sky,0,7.76
77,manono,cd,-7.3,27.416667,76.8,53,Clouds,scattered clouds,36,5.19
78,savannah bight,hn,16.45,-85.84999999999998,84.09,98,Clouds,scattered clouds,44,13.24
79,show low,us,34.2541667,-110.0291667,78.6,33,Clouds,few clouds,20,9.17
80,nemuro,jp,43.32361100000001,145.57500000000002,59.25,100,Clouds,scattered clouds,44,13.13
81,palestine,us,31.761944400000015,-95.6305556,84.02,69,Clear,clear sky,1,4.85
82,suratgarh,in,29.316667,73.9,73.65,86,Clear,clear sky,0,2.84
83,constitucion,cl,-35.333333,-72.416667,57.36,80,Clouds,overcast clouds,88,14.7
84,storsteinnes,no,69.23333300000002,19.233333,41.0,86,Rain,light intensity shower rain,90,23.04
85,wuchang,cn,44.91428200000001,127.15000700000002,38.46,82,Clear,clear sky,0,2.73
86,kemijarvi,fi,66.66666700000002,27.416666999999997,39.9,100,Rain,light rain,0,7.99
87,dikson,ru,73.50694399999999,80.546389,39.99,95,Rain,moderate rain,92,27.56
88,pineville,us,31.3222222,-92.4341667,84.94,61,Rain,light rain,1,6.93
89,kharagpur,in,22.333332999999996,87.333333,78.96,94,Clouds,broken clouds,56,6.08
90,baley,ru,51.60000000000001,116.633333,39.0,63,Clear,clear sky,0,6.31
91,zemaiciu naumiestis,lt,55.3591667,21.702222200000005,44.49,93,Clouds,few clouds,12,9.22
92,myanaung,mm,18.2833333,95.3166667,74.28,100,Clouds,few clouds,20,4.07
93,ust-maya,ru,60.416667,134.533333,28.83,86,Clouds,few clouds,24,3.06
94,bose,cn,23.899722000000004,106.613333,70.95,99,Rain,moderate rain,92,2.28
95,farafenni,gm,13.5666667,-15.6,80.85,83,Clouds,broken clouds,80,4.52
96,valleyview,ca,55.066667,-117.283333,57.9,65,Clear,clear sky,0,14.36
97,marihatag,ph,8.793611,126.29694399999998,82.47,100,Clear,clear sky,0,11.23
98,saucillo,mx,28.016666999999998,-105.283333,91.74,23,Clear,clear sky,0,4.63
99,nizhniy baskunchak,ru,48.21977600000001,46.831053,64.2,87,Clouds,broken clouds,76,10.11
100,cayenne,gf,4.9333333,-52.33333330000001,86.0,70,Clouds,few clouds,24,9.17
101,rorvik,no,64.85000000000001,11.233333000000004,48.99,81,Rain,moderate rain,75,34.45
102,mbandaka,cd,0.066667,18.266667,74.1,92,Clouds,few clouds,24,0.83
103,skovorodino,ru,53.983332999999995,123.916667,34.5,80,Clear,clear sky,8,2.39
104,louisbourg,ca,45.91666700000001,-59.983333,51.8,50,Clouds,scattered clouds,40,8.05
105,sehithwa,bw,-20.4666667,22.7166667,69.33,29,Clear,clear sky,0,7.99
106,ouargaye,bf,11.5033333,0.05722220000000001,73.02,96,Clouds,few clouds,12,3.18
107,cabinda,ao,-5.550000000000001,12.2,75.63,99,Clouds,few clouds,24,10.56
108,sterling,us,40.6255556,-103.2072222,62.47,32,Clear,clear sky,1,17.22
109,khomeynishahr,ir,32.70017500000001,51.52113400000001,66.2,76,Clear,clear sky,0,4.7
110,verkh-usugli,ru,52.683333000000005,115.233333,29.1,73,Clear,clear sky,0,2.39
111,karmala,in,18.416667,75.2,69.33,95,Clouds,broken clouds,68,3.4
112,brazzaville,cg,-4.2591667,15.284722200000001,74.28,89,Clouds,few clouds,24,2.73
113,safford,us,32.833888900000005,-109.7069444,89.06,27,Clear,clear sky,1,8.05
114,havelock,nz,-41.28333300000001,173.766667,55.02,77,Clear,clear sky,8,7.65
115,beringovskiy,ru,63.050000000000004,179.316667,45.3,98,Rain,light rain,92,9.44
116,delta,mx,32.355,-115.193056,94.12,31,Clear,clear sky,5,5.82
117,zeya,ru,53.75,127.266667,33.78,90,Clear,clear sky,0,2.06
118,cooma,au,-36.234692,149.125977,39.81,98,Rain,light rain,92,3.4
119,tangshan,cn,37.33250000000001,114.70138900000002,55.2,93,Clouds,overcast clouds,92,2.95
120,longview,us,46.13833329999999,-122.9369444,73.18,52,Clear,clear sky,1,8.05
121,novoagansk,ru,61.9449,76.66250000000001,53.31,97,Clear,clear sky,8,5.53
122,draguignan,fr,43.536545,6.463455,68.95,55,Clear,clear sky,0,1.12
123,mitrofanovka,ru,49.970833000000006,39.693889,48.09,92,Clouds,broken clouds,64,6.42
124,kalaleh,ir,37.38071200000001,55.491639,60.24,82,Clear,clear sky,0,2.95
125,laguna beach,us,33.542222200000005,-117.7822222,71.65,68,Haze,haze,75,3.36
126,imeni poliny osipenko,ru,52.42009999999999,136.4853,29.73,79,Clear,clear sky,0,2.17
127,dzhebariki-khaya,ru,62.216667,135.80000000000004,37.74,88,Clouds,broken clouds,80,5.97
128,yei,sd,4.0913889,30.6786111,69.51,91,Clouds,scattered clouds,44,4.85
129,kaiyuan,cn,23.697668,103.303723,58.35,94,Clouds,few clouds,12,2.39
130,ano mera,gr,37.45,25.399999999999995,65.61,72,Rain,light rain,24,29.97
131,eskasem,af,36.706932,71.570658,28.02,100,Clear,clear sky,0,1.72
132,mocambique,mz,-15.0341667,40.7358333,77.16,95,Clear,clear sky,0,6.31
133,derventa,ba,44.9772222,17.910277799999996,39.2,86,Clear,clear sky,0,2.24
134,sauda,no,59.65000000000001,6.333333,38.91,100,Rain,light rain,92,11.01
135,pervomayskoye,ru,57.0761,86.23130000000002,45.66,100,Clouds,broken clouds,64,5.3
136,ondjiva,ao,-17.066667,15.733332999999998,75.54,50,Clouds,overcast clouds,88,3.18
137,lima,us,40.74249999999999,-84.10527780000001,74.7,87,Clouds,broken clouds,75,11.41
138,arinos,br,-15.916667000000004,-46.066667,86.7,22,Clear,clear sky,0,7.99
139,marmato,co,5.478427,-75.592667,66.2,68,Clouds,broken clouds,75,3.36
140,yuryevets,ru,57.32007300000002,43.104099999999995,46.83,100,Clouds,overcast clouds,92,16.37
141,simpang,id,-1.2666670000000002,104.083333,75.36,92,Clear,clear sky,8,2.73
142,nakhon si thammarat,th,8.433333000000001,99.966667,76.26,100,Clear,clear sky,8,3.96
143,bonfim,br,3.083333,-59.95000000000002,89.58,58,Rain,light rain,76,4.18
144,vallenar,cl,-28.570833000000004,-70.758056,69.33,64,Clear,clear sky,0,2.62
145,gornyy,ru,50.760833000000005,136.439722,27.48,81,Clear,clear sky,0,2.95
146,parana,ar,-31.731967000000004,-60.523801999999996,71.67,72,Clouds,overcast clouds,92,11.45
147,dunmore town,bs,25.5,-76.65,85.08,98,Clouds,few clouds,20,14.7
148,luohe,cn,33.571667,114.035278,60.06,90,Clouds,overcast clouds,92,9.89
149,kitgum,ug,3.2783333,32.8866667,75.45,53,Clouds,overcast clouds,92,3.06
150,gewane,et,10.166388999999999,40.645278,73.11,63,Clouds,overcast clouds,88,2.84
151,hagerstown,us,39.641666699999995,-77.7202778,70.97,90,Clouds,broken clouds,75,3.36
152,qiongshan,cn,20.005833,110.35416700000002,75.2,100,Clear,clear sky,0,4.47
153,ulcinj,me,41.92833300000001,19.206389000000005,59.0,28,Clear,clear sky,0,19.46
154,rudbar,af,30.149999999999995,62.6,73.38,21,Clouds,broken clouds,80,4.97
155,puruliya,in,23.333333,86.366667,75.0,94,Clouds,few clouds,24,3.51
156,tambovka,ru,47.31528300000001,47.37773,60.96,89,Clouds,broken clouds,56,7.43
157,monywa,mm,22.116666699999996,95.13333330000002,74.55,94,Clouds,few clouds,12,4.52
158,mayor pablo lagerenza,py,-19.916667000000007,-60.783333,90.66,58,Clear,clear sky,8,5.86
159,posadas,ar,-27.367077,-55.896078,67.1,100,Rain,light rain,90,8.05
160,panorama,br,-21.35,-51.85,98.22,22,Clear,clear sky,0,7.99
161,solano,co,0.6993699999999999,-75.253526,88.68,52,Clear,clear sky,8,2.84
162,xining,cn,36.616667,101.766667,45.75,100,Rain,light rain,92,2.73
163,chimala,tz,-8.85,34.01666670000001,58.26,78,Clear,clear sky,0,4.52
164,bartica,gy,6.4,-58.6166667,77.0,94,Thunderstorm,thunderstorm,75,11.41
165,cedar falls,us,42.5277778,-92.4452778,59.99,96,Clouds,overcast clouds,90,14.99
166,pula,hr,44.86833330000001,13.8480556,56.03,43,Clear,clear sky,0,19.46
167,manoel urbano,br,-8.883333,-69.3,87.78,78,Rain,light rain,20,2.51
168,farafangana,mg,-22.816666699999995,47.8333333,73.2,99,Clouds,overcast clouds,92,14.47
169,sola,vu,-13.883333300000002,167.55000000000004,78.6,100,Rain,light rain,92,19.73
170,san pedro,bo,-18.2833333,-59.8166667,89.6,62,Thunderstorm,thunderstorm,40,17.22
171,piacabucu,br,-10.4,-36.41666699999999,77.16,70,Clear,clear sky,0,11.68
172,bogoslovka,ru,53.208372,44.801328,43.41,93,Clouds,few clouds,24,7.99
173,cape canaveral,us,28.405555599999996,-80.605,88.83,62,Clear,clear sky,1,8.05
174,bamako,ml,12.650000000000002,-8.0,73.4,94,Thunderstorm,thunderstorm,20,2.24
175,villanueva de cordoba,es,38.322774,-4.628725,80.6,44,Clouds,few clouds,24,4.7
176,tongzi,cn,28.1375,106.82,62.58,99,Rain,moderate rain,92,2.62
177,east london,za,-33.011051,27.910049,69.33,100,Clouds,few clouds,20,14.58
178,tias,es,28.961076000000006,-13.645020999999998,75.99,73,Clear,clear sky,0,4.7
179,oxelosund,se,58.666667,17.1,50.97,71,Clear,clear sky,0,12.75
180,ciudad guayana,ve,8.3533333,-62.65277779999999,86.7,67,Clouds,broken clouds,56,7.76
181,kibala,ao,-10.73366,14.979949,60.42,96,Rain,light rain,36,1.61
182,jacareacanga,br,-6.266667,-57.65,87.8,66,Clouds,scattered clouds,40,2.24
183,malakal,sd,9.536944399999998,31.656111100000007,81.39,61,Clear,clear sky,8,6.64
184,giyani,za,-23.30246,30.718682,67.26,41,Clear,clear sky,0,5.53
185,russkaya polyana,ru,53.77944400000001,73.880556,50.7,74,Clear,clear sky,0,8.77
186,karkaralinsk,kz,49.405833000000015,75.474167,33.33,77,Clear,clear sky,0,2.84
187,marinette,us,45.10000000000001,-87.6305556,68.63,82,Clouds,overcast clouds,90,3.36
188,nieuw nickerie,sr,5.949999999999999,-56.983333300000005,84.54,92,Clouds,few clouds,12,8.66
189,hashtrud,ir,37.47789999999999,47.050799999999995,45.21,70,Clear,clear sky,0,2.51
190,la cruz,mx,23.916667,-106.9,87.15,71,Clouds,scattered clouds,48,3.62
191,neuquen,ar,-38.95160599999999,-68.059102,69.8,21,Clear,clear sky,0,6.93
192,carlibaba,ro,47.58333300000001,25.133333,34.5,76,Clouds,broken clouds,64,4.29
193,polonnaruwa,lk,7.933333299999999,81.0,72.39,99,Rain,light rain,88,2.62
194,nouadhibou,mr,20.900000000000002,-17.0666667,77.0,88,Clear,clear sky,8,6.93
195,dunkwa,gh,5.966666700000001,-1.7833333,73.74,95,Rain,moderate rain,100,5.97
196,izhevskoye,ru,54.557,40.87530000000002,45.75,92,Rain,light rain,80,15.48
197,banyo,cm,6.75,11.8166667,63.84,96,Rain,moderate rain,64,3.18
